산지코드,산지이름,직팜산지코드,직팜산지이름
357000~359999,충청남도 태안군,1035,충청남도 태안군
360000~364999,충청북도 청주시,1036,충청북도 청주시
365000~366999,충청북도 진천군,1037,충청북도 진천군
367000~367701,충청북도 괴산군,1038,충청북도 괴산군
367702~367799,충청북도 청주시,1036,충청북도 청주시
367800~367999,충청북도 괴산군,1038,충청북도 괴산군
368000~368999,충청북도 증평군,1039,충청북도 증평군
369000~369999,충청북도 음성군,1040,충청북도 음성군
370000~372999,충청북도 영동군,1041,충청북도 영동군
373000~375999,충청북도 옥천군,1042,충청북도 옥천군
376000~379999,충청북도 보은군,1043,충청북도 보은군
380000~389999,충청북도 충주시,1044,충청북도 충주시
390000~394999,충청북도 제천시,1045,충청북도 제천시
395000~399999,충청북도 단양군,1046,충청북도 단양군
400000~409999,인천광역시,1047,인천광역시
410000~412999,경기도 고양시,1048,경기도 고양시
413000~414999,경기도 파주시,1049,경기도 파주시
415000~416999,경기도 김포시,1050,경기도 김포시
417000~419999,인천광역시,1047,인천광역시
420000~422999,경기도 부천시,1051,경기도 부천시
423000~424999,경기도 광명시,1052,경기도 광명시
425000~426999,경기도 안산시,1053,경기도 안산시
427000~428999,경기도 과천시,1054,경기도 과천시
429000~429999,경기도 시흥시,1055,경기도 시흥시
430000~434999,경기도 안양시,1056,경기도 안양시
435000~436958,경기도 군포시,1057,경기도 군포시
436959~436999,경기도 성남시,1058,경기도 성남시
437000~439999,경기도 의왕시,1059,경기도 의왕시
440000~444999,경기도 수원시,1060,경기도 수원시
445000~445999,경기도 화성시,1061,경기도 화성시
446000~446999,경기도 용인시,1062,경기도 용인시
447000~448109,경기도 오산시,1063,경기도 오산시
448110~449999,경기도 용인시,1062,경기도 용인시
450000~455999,경기도 평택시,1064,경기도 평택시
456000~459009,경기도 안성시,1065,경기도 안성시
459010~460999,경기도 평택시,1064,경기도 평택시
461000~463999,경기도 성남시,1058,경기도 성남시
464000~464999,경기도 광주시,1066,경기도 광주시
465000~466999,경기도 하남시,1067,경기도 하남시
467000~468999,경기도 이천시,1068,경기도 이천시
469000~470999,경기도 여주시,1069,경기도 여주시
471000~471999,경기도 구리시,1070,경기도 구리시
472000~475999,경기도 남양주시,1071,경기도 남양주시
476000~476808,경기도 양평군,1072,경기도 양평군
476809,경기도 남양주시,1071,경기도 남양주시
476810~476999,경기도 양평군,1072,경기도 양평군
477000~479999,경기도 가평군,1073,경기도 가평군
480000~480798,경기도 의정부시,1074,경기도 의정부시
480799,경기도 남양주시,1071,경기도 남양주시
480800~481999,경기도 의정부시,1074,경기도 의정부시
482000~482838,경기도 양주시,1075,경기도 양주시
482839,경기도 동두천시,1076,경기도 동두천시
482840~482868,경기도 양주시,1075,경기도 양주시
482869,경기도 동두천시,1076,경기도 동두천시
482870~482999,경기도 양주시,1075,경기도 양주시
483000~485999,경기도 동두천시,1076,경기도 동두천시
486000~486858,경기도 연천군,1077,경기도 연천군
486859,경기도 동두천시,1076,경기도 동두천시
486860~486999,경기도 연천군,1077,경기도 연천군
487000~487808,경기도 포천시,1078,경기도 포천시
487809,경기도 양주시,1075,경기도 양주시
487810~487838,경기도 포천시,1078,경기도 포천시
487839,강원도 철원군,1003,강원도 철원군
487840~487867,경기도 포천시,1078,경기도 포천시
487868,강원도 철원군,1003,강원도 철원군
487869~499999,경기도 포천시,1078,경기도 포천시
500000~512999,광주광역시,1079,광주광역시
513000~514999,전라남도 영광군,1080,전라남도 영광군
515000~515999,전라남도 장성군,1081,전라남도 장성군
516000~516999,전라남도 곡성군,1082,전라남도 곡성군
517000~518999,전라남도 담양군,1083,전라남도 담양군
519000~519999,전라남도 화순군,1084,전라남도 화순군
520000~524999,전라남도 나주시,1085,전라남도 나주시
525000~525999,전라남도 함평군,1086,전라남도 함평군
526000~526999,전라남도 영암군,1087,전라남도 영암군
527000~527912,전라남도 강진군,1088,전라남도 강진군
527913~528999,전라남도 완도군,1089,전라남도 완도군
529000~529999,전라남도 장흥군,1090,전라남도 장흥군
530000~530144,전라남도 목포시,1091,전라남도 목포시
530145~530149,전라남도 신안군,1092,전라남도 신안군
530150~530846,전라남도 목포시,1091,전라남도 목포시
530847~533999,전라남도 신안군,1092,전라남도 신안군
534000~534999,전라남도 무안군,1093,전라남도 무안군
535000~535999,전라남도 신안군,1092,전라남도 신안군
536000~536927,전라남도 해남군,1094,전라남도 해남군
536928~536929,전라남도 완도군,1089,전라남도 완도군
536930~536934,전라남도 해남군,1094,전라남도 해남군
536935~536939,전라남도 완도군,1089,전라남도 완도군
536940~536999,전라남도 해남군,1094,전라남도 해남군
537000~538999,전라남도 완도군,1089,전라남도 완도군
539000~539999,전라남도 진도군,1095,전라남도 진도군
540000~541999,전라남도 순천시,1096,전라남도 순천시
542000~544999,전라남도 구례군,1097,전라남도 구례군
545000~545999,전라남도 광양시,1098,전라남도 광양시
546000~547999,전라남도 보성군,1099,전라남도 보성군
548000~548989,전라남도 고흥군,1100,전라남도 고흥군
548990~549999,전라남도 완도군,1089,전라남도 완도군
550000~559999,전라남도 여수시,1101,전라남도 여수시
560000~564999,전라북도 전주시,1102,전라북도 전주시
565000~565999,전라북도 완주군,1103,전라북도 완주군
566000~566999,전라북도 임실군,1104,전라북도 임실군
567000~567999,전라북도 진안군,1105,전라북도 진안군
568000~569999,전라북도 무주군,1106,전라북도 무주군
