plor_cd,plor_nm
100881,서울 중구 회현동1가  메사빌딩 
100882,서울 중구 신당6동846
100883,서울 중구 순화동  아이엔지센터 
100884,서울 중구 신당2동308
100885,서울 중구 신당1동193
100886,서울 중구 신당1동204
100887,서울 중구 신당1동213∼217
100888,서울 중구 신당1동226∼236
100889,서울 중구 신당1동249∼253
100890,서울 중구 신당1동304
100891,서울 중구 신당1동305∼307
100893,서울 중구 신당2동370∼371
100894,서울 중구 신당2동426∼431
100895,서울 중구 신당3동309
100896,서울 중구 신당2동295
100897,서울 중구 신당6동48∼51
100951,서울 중구 을지로6가  헬로우APM 
100952,서울 중구 회현동1가  인송빌딩 
100953,서울 중구 중림동  대우디오센터 
100954,서울 중구 충정로1가  청양빌딩 
100955,서울 중구 흥인동  한성프라자 
100956,서울 중구 흥인동  현대우일프라자 
100957,서울 중구 흥인동  현대우일타운 
100958,서울 중구 남대문로5가  STX남산타워 
100998,서울 중구 남대문로5가  YTN빌딩 
100999,서울 중구 을지로2가  SK텔레콤빌딩 
110000,서울특별시 종로구
110010,서울 종로구 신영동
110011,서울 종로구 구기동
110012,서울 종로구 평창동
110020,서울 종로구 홍지동
110021,서울 종로구 부암동
110030,서울 종로구 청운동
110031,서울 종로구 궁정동
110032,서울 종로구 신교동
110033,서울 종로구 효자동
110034,서울 종로구 창성동
110035,서울 종로구 옥인동
110040,서울 종로구 통의동
110041,서울 종로구 누상동
110042,서울 종로구 누하동
110043,서울 종로구 통인동
110044,서울 종로구 필운동
110045,서울 종로구 체부동
110050,서울 종로구 세종로
110051,서울 종로구 도렴동
110052,서울 종로구 적선동
110053,서울 종로구 내자동
110054,서울 종로구 사직동
110061,서울 종로구 신문로1가
110062,서울 종로구 신문로2가
110070,서울 종로구 내수동
110071,서울 종로구 당주동
110080,서울 종로구 무악동
110090,서울 종로구 교북동
110091,서울 종로구 행촌동
110092,서울 종로구 홍파동
110100,서울 종로구 교남동
110101,서울 종로구 송월동
110102,서울 종로구 평동
110110,서울 종로구 서린동
110111,서울 종로구 관철동
110121,서울 종로구 종로1가
110122,서울 종로구 종로2가
110123,서울 종로구 종로3가
110124,서울 종로구 종로4가
110125,서울 종로구 종로5가
110126,서울 종로구 종로6가
110130,서울 종로구 청진동
110140,서울 종로구 수송동
110150,서울 종로구 중학동
110160,서울 종로구 공평동
110170,서울 종로구 견지동
110180,서울 종로구 송현동
110190,서울 종로구 사간동
110200,서울 종로구 소격동
110210,서울 종로구 화동
110220,서울 종로구 팔판동
110230,서울 종로구 삼청동
110240,서울 종로구 안국동
110250,서울 종로구 재동
110260,서울 종로구 가회동
110270,서울 종로구 계동
110280,서울 종로구 원서동
110290,서울 종로구 인사동
110300,서울 종로구 관훈동
110310,서울 종로구 경운동
110320,서울 종로구 낙원동
110330,서울 종로구 돈의동
110340,서울 종로구 익선동
110350,서울 종로구 운니동
110360,서울 종로구 와룡동
110370,서울 종로구 묘동
110380,서울 종로구 권농동
110390,서울 종로구 봉익동
110400,서울 종로구 훈정동
110410,서울 종로구 인의동
110420,서울 종로구 관수동
110430,서울 종로구 장사동
110440,서울 종로구 예지동
110450,서울 종로구 원남동
110460,서울 종로구 연건동
110470,서울 종로구 연지동
110480,서울 종로구 효제동
110490,서울 종로구 충신동
110500,서울 종로구 이화동
110510,서울 종로구 동숭동
110521,서울 종로구 명륜동1가
110522,서울 종로구 명륜동2가
110523,서울 종로구 명륜동3가
110524,서울 종로구 명륜동4가
110530,서울 종로구 혜화동
110540,서울 종로구 창신동
110541,서울 종로구 창신1동
110542,서울 종로구 창신2동
110543,서울 종로구 창신3동
110550,서울 종로구 숭인동
110551,서울 종로구 숭인1동
110552,서울 종로구 숭인2동
110600,서울 종로구 광화문우체국사서함1∼99
110601,서울 종로구 광화문우체국사서함100∼199
110602,서울 종로구 광화문우체국사서함200∼299
110603,서울 종로구 광화문우체국사서함300∼399
110604,서울 종로구 광화문우체국사서함400∼499
110605,서울 종로구 광화문우체국사서함500∼599
110606,서울 종로구 광화문우체국사서함600∼699
