도명,지점명,지점코드,위도,경도,고도,설치주소,관측시작일
전라북도,장수군 장수읍,597803A001,35.61981,127.51154,478,전라북도 장수군 장수읍 와동길 55,2011-01-14
전라북도,정읍시 정우면,580813A001,35.62084,126.89625,30,전라북도 정읍시 정우면 정우남로 282,2010-09-16
전라북도,진안군 진안읍,567801A002,35.7603,127.43745,362,전라북도 진안군 진안읍 진무로 702-30,2012-04-27
전라남도,강진군 군동면,059223A001,34.64381,126.79003,8.7,전라남도 강진군 군동면 진흥로 85,2017-03-29
전라남도,고흥군 풍양면,548912A001,34.56648,127.25811,52,전라남도 고흥군 풍양면 풍남로 143,2011-05-16
전라남도,곡성군 오곡면,516821A001,35.27364,127.30344,71,전남 곡성군 오곡면 승법리 180-7,2011-05-16
전라남도,구례군 구례읍,542805A001,35.1973,127.46092,38,전라남도 구례군 구례읍 동산1길 32,2016-05-04
전라남도,나주시 공산면,520892A001,34.94379,126.60644,4.4,전라남도 나주시 공산면 남창리 462-9,2013-12-25
전라남도,나주시 금천면,520821F001,35.02371,126.74747,13,전남 나주시 금천면 벽류길 121 나주배연구소,2014-12-23
전라남도,나주시 문평면,520943A002,35.04004,126.60136,7.5,전라남도 나주시 문평면 산호리 1407-1,2013-12-25
전라남도,나주시 봉황면,520853A003,34.95821,126.7484,29,나주시 봉황면 욱곡리 654-5,2013-12-25
전라남도,나주시 신포면,535873B003,35.02493,126.82454,26,전라남도 나주시 신포면 세남로 1508,2013-06-18
전라남도,무안군 청계면,534833E001,34.96849,126.45608,30,전라남도 무안군 청계면 청천리 293-2(무안로 199),2010-12-17
전라남도,무안군 현경면,534844A001,35.02855,126.44567,67,전라남도 무안군 현경면 현화리 96-21,2013-01-25
전라남도,보성군 보성읍,546804B001,34.78188,127.09562,145,전라남도 보성군 보성읍 송재로 354 (녹차연구소),2011-02-10
전라남도,보성군 웅치면,546805A001,34.72791,127.02383,159,전라남도 보성군 웅치면 강산리 1592-29,2010-09-27
전라남도,순천시 주암면,540814A001,35.05758,127.2825,20,전라남도 순천시 주암면 창촌리 50-1,2014-06-13
전라남도,신안군 압해읍,535812A001,34.85943,126.29898,23,전라남도 신안군 압해읍 동서리 520(압해로 1042),2011-09-30
전라남도,여수시 주삼동,555130A001,34.78753,127.65434,26,전라남도 여수시 주동1길 32 (주삼동),2011-06-23
전라남도,영광군 군서면,513842A001,35.28227,126.46796,20,전라남도 영광군 군서면 만곡리 184-1,2010-10-06
전라남도,영암군 덕진면,526821A001,34.82528,126.67311,28,전남 영암군 덕진면 장선리 676-1(금호길 11),2010-09-23
전라남도,완도군 완도읍,537807B004,34.37194,126.72821,,전라남도 완도읍 청해진로 1251길 48-20,2014-12-18
전라남도,장성군 장성읍,515804A001,35.3185,126.79595,61,전라남도 장성군 장성읍 단풍로 220,2015-08-21
전라남도,장흥군 장흥읍,529805A001,34.67061,126.91002,40,전남 장흥군 장흥읍 건산리 236-6,2011-07-27
전라남도,진도군 군내면,539823A001,34.51146,126.29772,41,전라남도 진도군 군내면 송산리 747-1 (가흥로 697),2010-09-23
전라남도,함평군 학교면,525811A001,35.05217,126.54172,12,전라남도 함평군 학교면 학교화산길 90,2010-09-15
