plor_cd,plor_nm
209811.0,강원 화천군 상서면 노동리
209812.0,강원 화천군 상서면 다목리
209813.0,강원 화천군 상서면 마현리
209814.0,강원 화천군 상서면 봉오리
209815.0,강원 화천군 상서면 부촌리
209819.0,강원 화천군 상서면 구운리 사서함 104
209820.0,강원 화천군 간동면
209821.0,강원 화천군 간동면 간척리
209822.0,강원 화천군 간동면 도송리
209823.0,강원 화천군 간동면 방천리  1595∼1862
209824.0,강원 춘천시 북산면 추곡리
209825.0,강원 춘천시 북산면 청평1리
209826.0,강원 춘천시 북산면 내평리
209827.0,강원 춘천시 북산면 오항리
209828.0,강원 춘천시 북산면 대곡리
209830.0,강원 화천군 사내면
209831.0,강원 화천군 사내면 광덕1리
209832.0,강원 화천군 사내면 광덕2리
209833.0,강원 화천군 사내면 명월리
209834.0,강원 화천군 사내면 사창리
209835.0,강원 화천군 사내면 삼일리
209838.0,강원 춘천시 사북면 신포리 사서함 9310
209839.0,강원 철원군 근남면 마현리 사서함 99
209840.0,강원 화천군 하남면
209841.0,강원 화천군 하남면 논미리
209842.0,강원 화천군 하남면 계성리
210000.0,강원도 강릉시
210003.0,강원 강릉시 교1동  강릉우편집중국 
210010.0,강원 강릉시 홍제동
210020.0,강원 강릉시 남문동
210030.0,강원 강릉시 명주동
210040.0,강원 강릉시 성내동
210050.0,강원 강릉시 성남동
210060.0,강원 강릉시 금학동
210070.0,강원 강릉시 용강동
210080.0,강원 강릉시 임당동
210090.0,강원 강릉시 옥천동
210100.0,강원 강릉시 교동
210101.0,강원 강릉시 교1동
210102.0,강원 강릉시 교2동
210110.0,강원 강릉시 포남동
210111.0,강원 강릉시 포남1동
210112.0,강원 강릉시 포남2동
210120.0,강원 강릉시 초당동
210130.0,강원 강릉시 강문동
210140.0,강원 강릉시 송정동
210150.0,강원 강릉시 견소동
210160.0,강원 강릉시 내곡동
210170.0,강원 강릉시 회산동
210180.0,강원 강릉시 장현동
210190.0,강원 강릉시 담산동
210200.0,강원 강릉시 박월동
210210.0,강원 강릉시 노암동
210220.0,강원 강릉시 유산동
210230.0,강원 강릉시 월호평동
210240.0,강원 강릉시 신석동
210250.0,강원 강릉시 입암동
210260.0,강원 강릉시 청량동
210270.0,강원 강릉시 두산동
210280.0,강원 강릉시 학동
210290.0,강원 강릉시 병산동
210300.0,강원 강릉시 남항진동
210310.0,강원 강릉시 유천동
210320.0,강원 강릉시 지변동
210330.0,강원 강릉시 죽헌동
210340.0,강원 강릉시 대전동
210350.0,강원 강릉시 운정동
210360.0,강원 강릉시 난곡동
210370.0,강원 강릉시 저동
210380.0,강원 강릉시 안현동
210390.0,강원 강릉시 운산동
210600.0,강원 강릉시 강릉우체국사서함
210701.0,강원 강릉시 내곡동  관동대학교 
210702.0,강원 강릉시 지변동  강릉대학교 
210703.0,강원 강릉시 홍제동  강릉시청 
210704.0,강원 강릉시 포남1동  강릉경찰서 
210705.0,강원 강릉시 포남2동  KT강릉지사 
210706.0,강원 강릉시 난곡동  춘천지방법원강릉지원 
210707.0,강원 강릉시 난곡동  춘천지방검찰청강릉지청 
210708.0,강원 강릉시 노암동  강릉교육청 
210709.0,강원 강릉시 옥천동  교보빌딩 
210710.0,강원 강릉시 옥천동  대한생명빌딩 
210711.0,강원 강릉시 사천면  강릉아산병원 
210712.0,강원 강릉시 옥천동  삼성생명빌딩 
210713.0,강원 강릉시 포남1동  국민건강보험공단강릉지사 
210714.0,강원 강릉시 성내동  종합메디칼 
