region_city,plor_cd_range
경기도 성남시,"436959~436960,461000,461140,461160~461163,461180~461182,461190~461194,461200,461210,461250,461260,461300,461310,461320,461330,461340,461350,461360,461370,461380,461600,461700~461709,461711~461714,461720~461734,461798~461833,462080,462090,462100,462110,462120~462123,462130,462150~462152,462170,462240~462242,462701~462716,462721~462736,462743,462800~462824,462826~462840,462850,462901,463003,463010,463020,463030,463040,463050,463060,463070,463400,463410,463420,463430,463440,463450,463460,463470,463480,463490,463500,463600~463608,463700~463874,463876,463901~463949,463954~463955,463957~463958"
경기도 수원시,"440000,440040,440050,440150~440152,440180,440200,440210,440240,440250,440260,440290,440300~440303,440310,440320,440330,440420,440600,440701~440730,440732~440738,440745~440747,440775,440800~440870,441081~441083,441090,441100,441110~441113,441130,441220,441230,441235,441340,441350,441360,441390,441400,441410,441430,441440,441450,441460,441470,441480,441701,441703~441708,441710~441723,441726~441766,441789,441800~441886,442003,442010,442021~442023,442030,442040,442060,442070,442081~442083,442090,442120,442130,442140,442150~442152,442160,442170,442180,442190~442192,442220,442270,442280,442370~442374,442380,442390,442400,442420,442470,442600,442701~442766,442773~442777,442780~442785,442791~442793,442800~442838,442843~442847,442849~442853,442857~442874,442880~442883,443003,443270,443280,443370~443374,443380,443390,443400,443470~443472,443701~443722,443725~443727,443731~443734,443736~443740,443742~443746,443749,443751,443753~443761,443765~443774,443777,443780,443791~443798,443800~443818,443821~443824,443848,443851~443855"
경기도 시흥시,"429000,429010,429020,429030,429040,429050,429060,429070,429080,429090,429100,429110,429120,429130,429230,429240,429250~429252,429260,429270,429280,429290,429300,429310,429320,429400,429410,429420,429430,429440,429450~429455,429460,429600,429700~429889,429897~429907,429911~429916,429921~429939,429941~429942"
경기도 안산시,"425000~425001,425020~425022,425030,425040,425050,425060,425070,425080,425090,425099~425100,425110,425120,425130~425132,425140~425143,425150,425160,425170~425172,425180~425183,425190,425200,425210,425220,425310,425320,425330,425340,425350,425400,425410,425420,425430,425600,425701~425870,425873~425882,425900~425908,426040,426050,426060,426070,426150,426160,426170~426173,426180~426183,426190,426200,426210,426220,426400,426410,426420,426701,426703,426706~426707,426729~426753,426767~426773,426785~426791,426807~426825,426829,426837,426853~426863,426871~426872,426894~426896,426900~426901,426906~426910"
경기도 안성시,"456000,456010,456020,456030,456040,456050,456060,456070,456080,456090,456100,456110,456120,456130,456140,456150,456210,456220,456230,456240,456250,456260,456270,456280,456290,456310,456320,456330,456340,456350,456360,456370,456380,456390,456600,456701,456703~456728,456745,456747,456749,456756,456763~456765,456767,456771~456772,456775~456776,456780~456782,456810~456812,456820~456826,456830~456833,456840~456844,456850~456853,456860~456863,456870~456874,456880~456883,456890~456894,456910~456915,456920~456922,456930~456934"
경기도 안양시,"430000,430010~430019,430030~430032,430040~430043,430600,430701~430734,430736,430738~430739,430742,430749~430760,430800~430857,431003,431050~431054,431058,431060~431062,431065,431070,431075~431076,431080~431083,431085~431086,431088,431600~431602,431607,431700~431849,431900~431904,431908~431910"
경기도 양주군,"482820~482824,482850~482858"
경기도 양주시,"482000,482010,482020,482030,482040,482050,482060,482070,482080,482090,482100,482110,482120,482130,482140,482150,482160,482170,482701~482712,482719~482737,482739~482741,482777~482778,482810~482813,482830~482838,482840~482845,482860~482863,482870~482874,482879,482911~482913,482931~482939,482941~482942,487809"
경기도 양평군,"476000,476701~476706,476751,476800~476806,476810~476813,476820~476824,476830~476833,476840~476845,476850~476853,476860~476863,476870~476874,476880~476884,476890~476893,476910~476913,476920~476922"
경기도 여주군,"469000,469701~469724,469726~469730,469800~469807,469809~469813,469820~469823,469830~469832,469840~469844,469850~469856,469860~469863,469870~469873,469880~469885,469890~469892"
경기도 연천군,"486000,486701~486709,486800~486803,486810,486820~486823,486830~486833,486850~486852,486860,486870,486880~486882,486890,486900~486909"
경기도 오산시,"447000,447010,447050,447060,447130,447140,447150,447160,447170,447180,447190,447200,447210,447220,447230,447240,447250,447260,447270,447280,447290,447300,447310,447320,447330,447600,447700~447747,447749~447750,447756,447791,447800~447805"
경기도 용인시,"446000,446505~446530,446556~446562,446565~446599,446700~446703,446705~446726,446728~446781,446785~446788,446790~446799,446848,446850~446862,446891~446892,446901~446917,446920,446930~446931,446936~446943,446950~446956,446958~446962,446967,446976,446980,446998~446999,448110,448120,448130~448132,448140,448150,448160~448162,448170~448172,448500~448550,448552~448554,448556,448564,448610,448701~448703,448705~448706,448710~448714,448717,448721,448723~448724,448727,448737~448739,448744~448769,448783~448785,448791,448793~448796,448801~448813,448821~448823,448830~448838,448846,448854,448918,448925~448926,448935,448943~448944,448946~448947,448949~448950,448953~448954,448971~448972,448974,448978,448980~448987,448989~448994,449000,449010,449020,449030,449040,449050,449060,449070,449080,449090,449100,449110,449120,449130,449140,449150,449160~449162,449170~449172,449510~449562,449564~449568,449570~449600,449610,449701~449788,449790~449799,449803~449804,449807,449809~449816,449820~449828,449830~449836,449840,449842~449846,449850~449856,449860~449865,449870~449873,449880~449885,449900~449916,449920~449943,449950~449962,449967~449968,449971~449976,449978,449980~449987,449989~449994"
